x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:22,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:23,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:24,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:25,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-74,-59,3.53,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-71,-59,2.9,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-69,-59,2.54,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:26,4
c2:02:0b:00:05:59,40001,30549,-72,-59,3.09,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-68,-59,2.37,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-67,-59,2.22,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-73,-59,3.31,2021.11.16 14:27,4
c2:02:0b:00:05:59,40001,30549,-70,-59,2.71,2021.11.16 14:27,4
