x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:22,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:23,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:24,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:25,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-59,-59,1.3,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:26,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-64,-59,1.82,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-60,-59,1.39,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-65,-59,1.94,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-62,-59,1.59,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-61,-59,1.49,2021.11.16 14:27,1
c2:02:0b:00:05:44,40001,30528,-63,-59,1.7,2021.11.16 14:27,1
