x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:21,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:22,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-74,-59,3.53,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:23,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-74,-59,3.53,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:24,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-74,-59,3.53,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-74,-59,3.53,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-73,-59,3.31,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-67,-59,2.22,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-70,-59,2.71,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:25,2
c2:02:0b:00:05:4e,40001,30538,-68,-59,2.37,2021.11.16 14:26,2
c2:02:0b:00:05:4e,40001,30538,-72,-59,3.09,2021.11.16 14:26,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:26,2
c2:02:0b:00:05:4e,40001,30538,-71,-59,2.9,2021.11.16 14:26,2
c2:02:0b:00:05:4e,40001,30538,-69,-59,2.54,2021.11.16 14:26,2
