x,major,minor,rssi,txpower,est_dist,time
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:22
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:23
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:24
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-69,-59,2.54,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:25
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-68,-59,2.37,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 14:26
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 14:26
