x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:22,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-70,-59,2.71,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-75,-59,3.78,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-83,-59,6.43,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:23,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-75,-59,3.78,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-70,-59,2.71,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:24,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-83,-59,6.43,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-83,-59,6.43,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-70,-59,2.71,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-83,-59,6.43,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:25,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-88,-59,8.96,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-85,-59,7.34,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-86,-59,7.84,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-75,-59,3.78,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-70,-59,2.71,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-78,-59,4.61,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-71,-59,2.9,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-84,-59,6.87,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:26,3
c2:02:0b:00:05:57,40001,30547,-76,-59,4.04,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-68,-59,2.37,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-79,-59,4.93,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-82,-59,6.01,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-77,-59,4.31,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-72,-59,3.09,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-80,-59,5.26,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-83,-59,6.43,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-81,-59,5.63,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-74,-59,3.53,2021.11.16 14:27,3
c2:02:0b:00:05:57,40001,30547,-73,-59,3.31,2021.11.16 14:27,3
